timestamp,x,y,z
1773712757243.8513,0.0,0.0,0.0
1773712757260.626,0.0,0.0,0.0
1773712757277.473,0.0,0.0,0.0
1773712757294.264,0.0,0.0,0.0
1773712757311.1077,0.0,0.0,0.0
1773712757327.812,0.0,0.0,0.0
1773712757344.712,0.0,0.0,0.0
1773712757361.5435,0.0,0.0,0.0
1773712757378.2295,0.0,0.0,0.0
1773712757395.1433,0.0,0.0,0.0
1773712757411.957,1.3989244074990754,0.5653800538178665,-0.04863450939876532
1773712757428.5986,0.0,0.0,0.0
1773712757445.5337,0.0,0.0,0.0
1773712757462.2073,0.0,0.0,0.0
1773712757479.111,0.0,0.0,0.0
1773712757495.868,0.0,0.0,0.0
1773712757512.5754,0.0,0.0,0.0
1773712757529.5935,0.0,0.0,0.0
1773712757546.287,0.0,0.0,0.0
1773712757563.077,0.0,0.0,0.0
1773712757579.75,0.0,0.0,0.0
1773712757596.6177,0.0,0.0,0.0
1773712757613.4573,0.0,0.0,0.0
1773712757630.1306,0.0,0.0,0.0
1773712757647.0588,0.0,0.0,0.0
1773712757663.8596,0.0,0.0,0.0
1773712757680.5537,0.0,0.0,0.0
1773712757697.519,0.0,0.0,0.0
1773712757714.1572,0.0,0.0,0.0
1773712757731.167,0.0,0.0,0.0
1773712757747.8596,0.0,0.0,0.0
1773712757764.6394,0.0,0.0,0.0
1773712757781.444,0.0,0.0,0.0
1773712757798.188,0.0,0.0,0.0
1773712757814.9795,0.0,0.0,0.0
1773712757831.8171,0.0,0.0,0.0
1773712757848.5256,0.0,0.0,0.0
1773712757865.432,0.0,0.0,0.0
1773712757882.112,0.0,0.0,0.0
1773712757899.11,0.0,0.0,0.0
1773712757915.933,0.0,0.0,0.0
1773712757932.5244,0.0,0.0,0.0
1773712757949.4265,0.0,0.0,0.0
1773712757966.1514,0.0,0.0,0.0
1773712757982.954,0.0,0.0,0.0
1773712757999.7456,0.0,0.0,0.0
1773712758016.652,0.0,0.0,0.0
1773712758033.4785,0.0,0.0,0.0
1773712758050.257,0.0,0.0,0.0
1773712758066.9272,0.0,0.0,0.0
1773712758083.859,0.0,0.0,0.0
1773712758100.5276,0.0,0.0,0.0
1773712758117.414,0.0,0.0,0.0
1773712758134.0916,0.0,0.0,0.0
1773712758150.9248,0.0,0.0,0.0
1773712758167.754,0.0,0.0,0.0
1773712758184.4893,0.0,0.0,0.0
1773712758201.3252,0.0,0.0,0.0
1773712758218.1558,0.0,0.0,0.0
1773712758234.9724,0.0,0.0,0.0
1773712758251.767,0.0,0.0,0.0
1773712758268.5667,0.0,0.0,0.0
1773712758285.4875,0.0,0.0,0.0
1773712758302.1184,0.0,0.0,0.0
1773712758319.1028,0.0,0.0,0.0
1773712758335.7546,0.0,0.0,0.0
1773712758352.5076,0.0,0.0,0.0
1773712758352.5076,0.0,0.0,0.0
1773712758369.4636,0.0,0.0,0.0
1773712758386.2117,0.0,0.0,0.0
1773712758402.9792,0.0,0.0,0.0
1773712758419.8696,0.0,0.0,0.0
1773712758436.5808,0.0,0.0,0.0
1773712758453.2852,0.0,0.0,0.0
1773712758470.2124,0.0,0.0,0.0
1773712758486.8848,0.0,0.0,0.0
1773712758503.8623,0.0,0.0,0.0
1773712758520.5063,0.0,0.0,0.0
1773712758537.2576,0.0,0.0,0.0
1773712758554.101,0.0,0.0,0.0
1773712758570.9568,0.0,0.0,0.0
1773712758587.713,0.0,0.0,0.0
1773712758604.498,0.0,0.0,0.0
1773712758621.298,0.0,0.0,0.0
1773712758638.162,0.0,0.0,0.0
1773712758654.968,0.0,0.0,0.0
1773712758671.8472,0.0,0.0,0.0
1773712758688.4937,0.0,0.0,0.0
1773712758705.3545,0.0,0.0,0.0
1773712758722.0789,0.0,0.0,0.0
1773712758738.8623,0.0,0.0,0.0
1773712758755.7163,0.0,0.0,0.0
1773712758772.624,0.0,0.0,0.0
1773712758789.264,0.0,0.0,0.0
1773712758806.0684,0.0,0.0,0.0
1773712758822.8652,0.0,0.0,0.0
1773712758839.7317,0.0,0.0,0.0
1773712758856.4983,0.0,0.0,0.0
1773712758873.266,0.0,0.0,0.0
1773712758890.0896,0.0,0.0,0.0
